puntnummer;project_id;project_titel;projectdatum;hoogte;orde;publiek
000A4080;366=00=NAP;SEC herziening 366w00hsec rivieren westB 2000;2000-02-04T00:00:00Z;6,46440000000000;2;N
000A4080;366W00-SEC;Secundaire waterpassing Rivieren west deel B 2000;2000-02-04T00:00:00Z;6,47030000000000;2;N
000A4080;373=20=NAP;CON waalwijk 2001;2001-04-14T00:00:00Z;6,46440000000000;2;N
000A4080;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;6,46440000000000;1;J
000A4080;377=00=NAP;SEC herziening 377w00-sec rivieren oost 2002;2002-09-29T00:00:00Z;6,46440000000000;2;N
000A4080;377W00-SEC;rivieren oost 2002 (20300)(20298);2002-09-29T00:00:00Z;6,47030000000000;7;N
000A4080;376=80;RIKZ metingen 2001 - 2003;2003-07-22T00:00:00Z;6,46440000000000;2;N
000A4080;384=11;SEC Zeeland zuid Brabant west 2009;2009-09-02T00:00:00Z;6,46440000000000;2;N
000A4080;386=036;CON BRAKEL-WIJK EN AALBURG;2009-11-15T00:00:00Z;6,46440000000000;2;N
000A4080;384=13;SEC Brabant Limburg noord en Gelderland zuid 2011;2011-05-23T00:00:00Z;6,46440000000000;2;N
000A4080;386=119;CON Concessie Waalwijk 2013;2013-07-02T00:00:00Z;6,46440000000000;2;N
000A4080;386=168;CON WIJK AALBURG 2016;2016-11-03T00:00:00Z;6,46440000000000;2;N
000A4080;386=187;CON Waalwijk 2018;2018-09-01T00:00:00Z;6,46440000000000;2;N
000A4080;388=08;SEC Brabant west + Rivierengebied 2020;2020-08-01T00:00:00Z;6,46440000000000;2;N
000A4082;PSB59P41;VERIFIKATIE 1986;1986-03-11T00:00:00Z;5,34860000000000;7;N
000A4082;317W00;SEC WP ZUID-HOLLAND;1989-11-01T00:00:00Z;5,32660000000000;2;N
000A4082;317=00=NAP;SEC herziening 317w00  zuid holland 1989;1989-11-12T00:00:00Z;5,29930000000000;2;N
000A4082;289W30;CONC.BOTLEK/PERNIS;1990-12-15T00:00:00Z;5,32140000000000;2;N
000A4082;289=30=NAP;CON botlek pernis 1990;1991-01-09T00:00:00Z;5,29690000000000;2;N
000A4082;332=03=NAP;CON de lier - botlek 1992;1992-10-05T00:00:00Z;5,30230000000000;2;N
000A4082;332W03;NAM-DE LIER-BOTLEK/P;1992-10-15T00:00:00Z;5,32410000000000;2;N
000A4082;342=07=NAP;CON westland 1995;1995-10-06T00:00:00Z;5,30650000000000;2;N
000A4082;342W07;Nauwkeurigheidswaterpassing NAM, Rotterdam/Westland 1995;1995-10-06T00:00:00Z;5,32430000000000;2;N
000A4082;363W00-SEC;riv west deel a   werknr 11354A  1998/1999;1999-03-07T00:00:00Z;5,31630000000000;2;N
000A4082;363=00=NAP;SEC herziening 363w00hsec+363w01-sec rivieren-west A 1999;1999-03-09T00:00:00Z;5,29930000000000;2;N
000A4082;363W00HSEC;herberekening 363w00+363w01 +3 overg + opt traj (gem.rdam.);1999-03-09T00:00:00Z;5,31630000000000;2;N
000A4082;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;5,29930000000000;1;N
000A4082;376=80;RIKZ metingen 2001 - 2003;2003-07-22T00:00:00Z;5,29930000000000;2;N
000A4082;380=82;CON concessie zuidholland 2005 NAM;2005-11-24T00:00:00Z;5,28840000000000;2;N
000A4082;384=04;SEC Zuid-Holland (RWS + NAM) en Zeeland 2008;2008-09-02T00:00:00Z;5,29290000000000;2;N
000A4082;386=063;CON zuid-holland 2011 NAM;2011-07-07T00:00:00Z;5,27350000000000;2;N
000A4082;388=01;SEC Zuid-Holland 2016;2016-07-09T00:00:00Z;5,26770000000000;2;J
000A4083;289W30;CONC.BOTLEK/PERNIS;1990-12-15T00:00:00Z;4,91150000000000;2;N
000A4083;289=30=NAP;CON botlek pernis 1990;1991-01-09T00:00:00Z;4,88700000000000;2;N
000A4083;332=03=NAP;CON de lier - botlek 1992;1992-10-05T00:00:00Z;4,79250000000000;2;N
000A4083;332W03;NAM-DE LIER-BOTLEK/P;1992-10-15T00:00:00Z;4,81430000000000;2;N
000A4083;342=07=NAP;CON westland 1995;1995-10-06T00:00:00Z;4,79660000000000;2;N
000A4083;342W07;Nauwkeurigheidswaterpassing NAM, Rotterdam/Westland 1995;1995-10-06T00:00:00Z;4,81450000000000;2;N
000A4084;PSB59P66;VERIFIKATIE 1986;1986-04-15T00:00:00Z;18,55280000000000;1;N
000A4084;329=00=NAP;SEC herziening 329w00 rivieren oost 1991;1991-10-29T00:00:00Z;18,54489999999990;2;N
000A4084;329W00;RIV. OOST 1991;1991-11-15T00:00:00Z;18,54430000000000;2;N
000A4084;355W47-PMS;verificaties 1996 regio oost;1997-01-22T00:00:00Z;18,54430000000000;2;N
000A4084;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;18,54430000000000;1;N
000A4084;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;18,54489999999990;1;N
000A4084;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;18,54489999999990;1;J
000A4084;377=00=NAP;SEC herziening 377w00-sec rivieren oost 2002;2002-09-29T00:00:00Z;18,54489999999990;2;N
000A4084;377W00-SEC;rivieren oost 2002 (20300)(20298);2002-09-29T00:00:00Z;18,54430000000000;7;N
000A4084;376=80;RIKZ metingen 2001 - 2003;2003-07-22T00:00:00Z;18,54489999999990;2;N
000A4084;384=13;SEC Brabant Limburg noord en Gelderland zuid 2011;2011-05-23T00:00:00Z;18,54489999999990;2;N
000A4086;PSB61;NIEUWE NULPALEN;1988-01-08T00:00:00Z;5,95940000000000;2;N
000A4086;339=01=NAP;SEC herziening 339w01H+339w01-HY zeeland 1992;1992-09-07T00:00:00Z;5,91590000000000;2;N
000A4086;339W01H;Herb. WP. zeeland (339w01)aanvullen met hydro 92 (339w01--HY;1992-09-07T00:00:00Z;5,93600000000000;2;N
000A4086;339W01;ZEELAND 92-93  ( zie herberekening 339W01H );1993-04-01T00:00:00Z;5,93610000000000;2;N
000A4086;334W47-NER;Neref punt Roompot 1993;1993-04-14T00:00:00Z;5,95940000000000;2;N
000A4086;930414-2-1;NA;1993-04-14T00:00:00Z;5,95940000000000;2;N
000A4086;347W02-NER;Waterpassingen NEREF-punten regio West;1994-12-10T00:00:00Z;5,95940000000000;2;N
000A4086;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;5,93600000000000;1;N
000A4086;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;5,90640000000000;1;N
000A4086;375W01;RD Kernnetpunten Zuid;1999-07-22T00:00:00Z;5,93600000000000;2;N
000A4086;382=478;RD 429304 2000;2000-05-11T00:00:00Z;5,90640000000000;2;N
000A4086;376=32;RIKZ 2000 2002 gedeeltelijk;2001-08-01T00:00:00Z;5,90640000000000;2;N
000A4086;374W00-SEC;zeeland 2001;2001-09-30T00:00:00Z;5,92450000000000;2;N
000A4086;374=00=NAP;SEC zeeland 2001;2001-10-04T00:00:00Z;5,90640000000000;2;N
000A4086;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;5,90640000000000;1;N
000A4086;382=339;RD 429304 2003;2003-02-27T00:00:00Z;5,90640000000000;2;N
000A4086;382=782;RD 429304 2004;2004-11-03T00:00:00Z;5,90640000000000;2;N
000A4086;385=493;RD 429304 2005;2005-11-30T00:00:00Z;5,90640000000000;2;N
000A4086;386=02;controle OM oosterschelde gebruiken secwp zeeland 4e planper;2006-12-15T00:00:00Z;5,90640000000000;2;N
000A4086;385=751;RD 429304 2007;2007-06-11T00:00:00Z;5,90640000000000;2;N
000A4086;384=11;SEC Zeeland zuid Brabant west 2009;2009-09-02T00:00:00Z;5,90640000000000;2;N
