# generated with r-analyse/gtsm/add-gtsm.R
# contains gtsm surge output per year
"...1","t","name","ddl_id","surge"
"274",381,2004-01-01,"Hoek van Holland","HOEKVHLD",0.0472166615398907
"275",388,2005-01-01,"Hoek van Holland","HOEKVHLD",0.0340468392150685
"276",395,2006-01-01,"Hoek van Holland","HOEKVHLD",0.0356202824027397
"277",402,2007-01-01,"Hoek van Holland","HOEKVHLD",0.0607599090712329
"278",409,2008-01-01,"Hoek van Holland","HOEKVHLD",0.0517938421502732
"279",416,2009-01-01,"Hoek van Holland","HOEKVHLD",0.0312391227550685
"280",423,2010-01-01,"Hoek van Holland","HOEKVHLD",0.0230875152575342
"281",430,2011-01-01,"Hoek van Holland","HOEKVHLD",0.0410305186931507
"282",437,2012-01-01,"Hoek van Holland","HOEKVHLD",0.0351219521994535
"283",444,2013-01-01,"Hoek van Holland","HOEKVHLD",0.0146820843306849
"284",451,2014-01-01,"Hoek van Holland","HOEKVHLD",0.0344110165232877
"285",458,2015-01-01,"Hoek van Holland","HOEKVHLD",0.0463228510082192
"286",465,2016-01-01,"Hoek van Holland","HOEKVHLD",0.0174867154754098
"287",472,2017-01-01,"Hoek van Holland","HOEKVHLD",0.0523039247375342
"288",479,2018-01-01,"Hoek van Holland","HOEKVHLD",0.00162085640547945
"289",486,2019-01-01,"Hoek van Holland","HOEKVHLD",0.0433088871268493
"290",493,2020-01-01,"Hoek van Holland","HOEKVHLD",0.0403651508114754
"291",500,2021-01-01,"Hoek van Holland","HOEKVHLD",0.0235421158821918
"292",507,2022-01-01,"Hoek van Holland","HOEKVHLD",0.0257110712839265
"293",4,1950-01-01,"IJmuiden","IJMDBTHVN",0.124437941360759
"294",11,1951-01-01,"IJmuiden","IJMDBTHVN",0.0501482866500338
"295",18,1952-01-01,"IJmuiden","IJMDBTHVN",0.0569279748364988
"296",25,1953-01-01,"IJmuiden","IJMDBTHVN",0.0150309482104566
"297",32,1954-01-01,"IJmuiden","IJMDBTHVN",0.0693158274975746
"298",39,1955-01-01,"IJmuiden","IJMDBTHVN",0.0513806939967079
"299",46,1956-01-01,"IJmuiden","IJMDBTHVN",0.0302266981261859
"300",53,1957-01-01,"IJmuiden","IJMDBTHVN",0.0442212480311728
"301",60,1958-01-01,"IJmuiden","IJMDBTHVN",0.0512215571108032
"302",67,1959-01-01,"IJmuiden","IJMDBTHVN",0.00346869568225659
"303",74,1960-01-01,"IJmuiden","IJMDBTHVN",0.0441327180606542
"304",81,1961-01-01,"IJmuiden","IJMDBTHVN",0.0681230499421897
"305",88,1962-01-01,"IJmuiden","IJMDBTHVN",0.0516089156116933
"306",95,1963-01-01,"IJmuiden","IJMDBTHVN",0.0174644369112123
"307",102,1964-01-01,"IJmuiden","IJMDBTHVN",0.0123881797504718
"308",109,1965-01-01,"IJmuiden","IJMDBTHVN",0.073911748150338
"309",116,1966-01-01,"IJmuiden","IJMDBTHVN",0.0670053245652824
"310",123,1967-01-01,"IJmuiden","IJMDBTHVN",0.0913492194695832
"311",130,1968-01-01,"IJmuiden","IJMDBTHVN",0.0380742295156615
"312",137,1969-01-01,"IJmuiden","IJMDBTHVN",0.0256313030824882
"313",144,1970-01-01,"IJmuiden","IJMDBTHVN",0.0620605273529479
"314",151,1971-01-01,"IJmuiden","IJMDBTHVN",0.022928028413388
"315",158,1972-01-01,"IJmuiden","IJMDBTHVN",0.00215321442219199
"316",165,1973-01-01,"IJmuiden","IJMDBTHVN",0.0601929599087532
"317",172,1974-01-01,"IJmuiden","IJMDBTHVN",0.0842364935025777
"318",179,1975-01-01,"IJmuiden","IJMDBTHVN",0.0256526313313883
"319",186,1976-01-01,"IJmuiden","IJMDBTHVN",0.0120250944180485
"320",193,1977-01-01,"IJmuiden","IJMDBTHVN",0.0656918702851215
"321",200,1978-01-01,"IJmuiden","IJMDBTHVN",0.0470947036902382
"322",207,1979-01-01,"IJmuiden","IJMDBTHVN",0.0441420167287671
"323",214,1980-01-01,"IJmuiden","IJMDBTHVN",0.036896556863388
"324",221,1981-01-01,"IJmuiden","IJMDBTHVN",0.069316172769863
"325",228,1982-01-01,"IJmuiden","IJMDBTHVN",0.0430190669205479
"326",235,1983-01-01,"IJmuiden","IJMDBTHVN",0.0776236119561644
"327",242,1984-01-01,"IJmuiden","IJMDBTHVN",0.0333379176106557
"328",249,1985-01-01,"IJmuiden","IJMDBTHVN",0.036701010260274
"329",256,1986-01-01,"IJmuiden","IJMDBTHVN",0.0442171547326027
"330",263,1987-01-01,"IJmuiden","IJMDBTHVN",0.0154475589849315
"331",270,1988-01-01,"IJmuiden","IJMDBTHVN",0.0732487635956284
"332",277,1989-01-01,"IJmuiden","IJMDBTHVN",0.0500987987068493
"333",284,1990-01-01,"IJmuiden","IJMDBTHVN",0.0960905542054795
"334",291,1991-01-01,"IJmuiden","IJMDBTHVN",0.0218624585972603
"335",298,1992-01-01,"IJmuiden","IJMDBTHVN",0.0474226029180328
"336",305,1993-01-01,"IJmuiden","IJMDBTHVN",0.0348727724268493
"337",312,1994-01-01,"IJmuiden","IJMDBTHVN",0.0700221811643836
"338",319,1995-01-01,"IJmuiden","IJMDBTHVN",0.0491322537416438
"339",326,1996-01-01,"IJmuiden","IJMDBTHVN",-0.0266323507071311
"340",333,1997-01-01,"IJmuiden","IJMDBTHVN",0.0108601390054794
"341",340,1998-01-01,"IJmuiden","IJMDBTHVN",0.0840567995123288
"342",347,1999-01-01,"IJmuiden","IJMDBTHVN",0.0769362397479452
"343",354,2000-01-01,"IJmuiden","IJMDBTHVN",0.0685171876830601
"344",361,2001-01-01,"IJmuiden","IJMDBTHVN",0.0557463306636712
"345",368,2002-01-01,"IJmuiden","IJMDBTHVN",0.0279256204964384
"346",375,2003-01-01,"IJmuiden","IJMDBTHVN",0.0119455207431342
"347",382,2004-01-01,"IJmuiden","IJMDBTHVN",0.0589107914161202
"348",389,2005-01-01,"IJmuiden","IJMDBTHVN",0.0412094610191781
"349",396,2006-01-01,"IJmuiden","IJMDBTHVN",0.0460430735945205
"350",403,2007-01-01,"IJmuiden","IJMDBTHVN",0.0707934524684932
"351",410,2008-01-01,"IJmuiden","IJMDBTHVN",0.0650230237185792
"352",417,2009-01-01,"IJmuiden","IJMDBTHVN",0.0386906935260274
"353",424,2010-01-01,"IJmuiden","IJMDBTHVN",0.0226655280939726
"354",431,2011-01-01,"IJmuiden","IJMDBTHVN",0.0539373378219178
"355",438,2012-01-01,"IJmuiden","IJMDBTHVN",0.0451164306202186
"356",445,2013-01-01,"IJmuiden","IJMDBTHVN",0.0190543655909589
"357",452,2014-01-01,"IJmuiden","IJMDBTHVN",0.0443157336027397
"358",459,2015-01-01,"IJmuiden","IJMDBTHVN",0.0630434735994521
"359",466,2016-01-01,"IJmuiden","IJMDBTHVN",0.0249364626431694
"360",473,2017-01-01,"IJmuiden","IJMDBTHVN",0.0645384771819178
"361",480,2018-01-01,"IJmuiden","IJMDBTHVN",0.00525034935342465
"362",487,2019-01-01,"IJmuiden","IJMDBTHVN",0.0542787530657534
"363",494,2020-01-01,"IJmuiden","IJMDBTHVN",0.0545388531174863
"364",501,2021-01-01,"IJmuiden","IJMDBTHVN",0.0311398627068493
"365",508,2022-01-01,"IJmuiden","IJMDBTHVN",0.035804595058937
"366",5,1950-01-01,"NL","NL",0.125773120849536
"367",12,1951-01-01,"NL","NL",0.0504282397940993
"368",19,1952-01-01,"NL","NL",0.0585821984385188
"369",26,1953-01-01,"NL","NL",0.0187315578788405
"370",33,1954-01-01,"NL","NL",0.0707336779201688
"371",40,1955-01-01,"NL","NL",0.054512248481156
"372",47,1956-01-01,"NL","NL",0.0334286611611335
"373",54,1957-01-01,"NL","NL",0.0467741869454863
"374",61,1958-01-01,"NL","NL",0.0508064852550107
"375",68,1959-01-01,"NL","NL",0.00530592405580655
"376",75,1960-01-01,"NL","NL",0.0403992328146324
"377",82,1961-01-01,"NL","NL",0.0695035535623171
"378",89,1962-01-01,"NL","NL",0.0552178626073963
"379",96,1963-01-01,"NL","NL",0.0186145527636633
"380",103,1964-01-01,"NL","NL",0.0159210850859626
